x (m),t (s),T_numerical (C)
0.04,6000.0,94.943913
0.06,6000.0,92.421477
0.08,6000.0,89.906037
0.1,6000.0,87.399513
0.12,6000.0,84.904288
0.14,6000.0,82.422356
0.16,6000.0,79.955808
0.18,6000.0,77.506592
0.2,6000.0,75.07658
0.22,6000.0,72.667544
0.24,6000.0,70.281149
0.26,6000.0,67.918946
0.28,6000.0,65.582363
0.3,6000.0,63.272704
0.32,6000.0,60.991139
0.34,6000.0,58.738704
0.36,6000.0,56.516297
0.38,6000.0,54.324676
0.4,6000.0,52.164456
0.42,6000.0,50.036113
0.44,6000.0,47.939981
0.46,6000.0,45.876255
0.48,6000.0,43.844991
0.5,6000.0,41.846114
0.52,6000.0,39.879415
0.54,6000.0,37.944559
0.56,6000.0,36.041088
0.58,6000.0,34.168429
0.6,6000.0,32.325894
0.62,6000.0,30.51269
0.64,6000.0,28.727923
0.66,6000.0,26.970604
0.68,6000.0,25.239655
0.7,6000.0,23.533918
0.72,6000.0,21.852155
0.74,6000.0,20.193061
0.76,6000.0,18.555264
0.78,6000.0,16.937336
0.8,6000.0,15.337795
0.82,6000.0,13.75511
0.84,6000.0,12.187711
0.86,6000.0,10.633987
0.88,6000.0,9.092295
0.9,6000.0,7.56098
0.92,6000.0,6.038311
0.94,6000.0,4.522646
0.96,6000.0,3.01216
0.98,6000.0,1.505222
1.0,6000.0,0.0
0.0,7500.0,100.0
0.02,7500.0,97.631313
0.04,7500.0,95.264128
0.06,7500.0,92.89996
0.08,7500.0,90.540277
0.1,7500.0,88.186564
0.12,7500.0,85.840246
0.14,7500.0,83.502741
0.16,7500.0,81.175411
0.18,7500.0,78.85958
0.2,7500.0,76.55652
0.22,7500.0,74.267446
0.24,7500.0,71.993512
0.26,7500.0,69.735805
0.28,7500.0,67.495342
0.3,7500.0,65.273066
0.32,7500.0,63.069842
0.34,7500.0,60.886451
0.36,7500.0,58.723592
0.38,7500.0,56.581878
0.4,7500.0,54.461832
0.42,7500.0,52.363887
0.44,7500.0,50.288385
0.46,7500.0,48.235578
0.48,7500.0,46.205624
0.5,7500.0,44.19859
0.52,7500.0,42.214451
0.54,7500.0,40.253093
0.56,7500.0,38.314311
0.58,7500.0,36.397815
0.6,7500.0,34.503228
0.62,7500.0,32.630089
0.64,7500.0,30.777858
0.66,7500.0,28.945915
0.68,7500.0,27.133567
0.7,7500.0,25.340048
0.72,7500.0,23.564524
0.74,7500.0,21.806095
0.76,7500.0,20.063802
0.78,7500.0,18.336628
0.8,7500.0,16.623503
0.82,7500.0,14.923308
0.84,7500.0,13.234878
0.86,7500.0,11.557009
0.88,7500.0,9.888461
0.9,7500.0,8.227961
0.92,7500.0,6.574211
0.94,7500.0,4.925885
0.96,7500.0,3.281647
0.98,7500.0,1.640139
1.0,7500.0,0.0
0.0,9000.0,100.0
0.02,9000.0,97.739691
0.04,9000.0,95.480422
0.06,9000.0,93.223231
0.08,9000.0,90.969144
0.1,9000.0,88.719178
0.12,9000.0,86.474329
0.14,9000.0,84.235575
0.16,9000.0,82.003866
0.18,9000.0,79.780126
0.2,9000.0,77.565243
0.22,9000.0,75.36007
0.24,9000.0,73.165422
0.26,9000.0,70.982066
0.28,9000.0,68.810728
0.3,9000.0,66.652081
0.32,9000.0,64.506748
0.34,9000.0,62.375298
0.36,9000.0,60.258244
0.38,9000.0,58.156039
0.4,9000.0,56.069077
0.42,9000.0,53.997691
0.44,9000.0,51.942153
0.46,9000.0,49.902668
0.48,9000.0,47.87938
0.5,9000.0,45.872367
0.52,9000.0,43.881644
0.54,9000.0,41.907162
0.56,9000.0,39.948805
0.58,9000.0,38.006397
0.6,9000.0,36.079698
0.62,9000.0,34.168409
0.64,9000.0,32.272167
0.66,9000.0,30.390556
0.68,9000.0,28.523099
0.7,9000.0,26.669267
0.72,9000.0,24.828479
0.74,9000.0,23.000102
0.76,9000.0,21.183458
0.78,9000.0,19.377823
0.8,9000.0,17.582431
0.82,9000.0,15.796479
0.84,9000.0,14.019126
0.86,9000.0,12.249501
0.88,9000.0,10.486702
0.9,9000.0,8.729802
0.92,9000.0,6.977852
0.94,9000.0,5.229885
0.96,9000.0,3.484917
0.98,9000.0,1.741956
1.0,9000.0,0.0
0.0,10000.0,100.0
0.02,10000.0,97.792984
0.04,10000.0,95.586791
0.06,10000.0,93.382239
0.08,10000.0,91.180142
0.1,10000.0,88.9813
0.12,10000.0,86.786505
0.14,10000.0,84.596529
0.16,10000.0,82.412124
0.18,10000.0,80.234023
0.2,10000.0,78.062931
0.22,10000.0,75.899524
0.24,10000.0,73.744449
0.26,10000.0,71.598319
0.28,10000.0,69.461711
0.3,10000.0,67.335162
0.32,10000.0,65.219171
0.34,10000.0,63.114194
0.36,10000.0,61.020643
0.38,10000.0,58.938882
0.4,10000.0,56.869233
0.42,10000.0,54.811964
0.44,10000.0,52.767297
0.46,10000.0,50.735405
0.48,10000.0,48.716407
0.5,10000.0,46.710374
0.52,10000.0,44.717323
0.54,10000.0,42.737221
0.56,10000.0,40.769986
0.58,10000.0,38.815482
0.6,10000.0,36.873526
0.62,10000.0,34.943882
0.64,10000.0,33.026271
0.66,10000.0,31.120362
0.68,10000.0,29.225781
0.7,10000.0,27.342109
0.72,10000.0,25.468886
0.74,10000.0,23.60561
0.76,10000.0,21.75174
0.78,10000.0,19.9067
0.8,10000.0,18.069879
0.82,10000.0,16.240634
0.84,10000.0,14.418294
0.86,10000.0,12.602159
0.88,10000.0,10.791508
0.9,10000.0,8.985596
0.92,10000.0,7.183663
0.94,10000.0,5.38493
0.96,10000.0,3.588609
0.98,10000.0,1.7939
1.0,10000.0,0.0
